Scenario,Mode,Fuel,2020,2025,2030,2040,2050
MML,Rail,Electric train (CL),100,100,100,100,100
MML,Rail,Battery train,0,0,10,15,20
MML,Rail,Hydrogen,0,0,1,3,5
MML,Rail,Biodiesel,0,0,0,0,0
MLH,Road,Diesel,100,100,100,100,100
MLH,Road,Battery electric,0.2,2,10,25,50
MLH,Road,Hydrogen,0,0,0,1,2
MLH,Road,Biodiesel,5,6,10,20,30
MLH,Road,Biogas,0,1,5,10,20
MLH,Sea,HFO,100,100,100,100,100
MLH,Sea,MGO,100,100,100,100,100
MLH,Sea,LNG,10,20,30,30,50
MLH,Sea,Hydrogen,0,0,0,0,0
MLH,Sea,Ammonia,0,0,3,6,10
MLH,Sea,Biodiesel (HVO),0,0,5,10,20
MLH,Sea,Biogas,0,0,5,10,20
MLH,Rail,Diesel,100,100,100,100,100
MLH,Rail,Electric train (CL),100,100,100,100,100
MLH,Rail,Battery train,0,0,10,15,20
MLH,Rail,Hydrogen,0,0,0,0,0
MLH,Rail,Biodiesel,0,0,5,10,20
MLM,Road,Diesel,100,100,100,100,100
MLM,Road,Battery electric,0.2,2,10,25,50
MLM,Road,Hydrogen,0,0,0,1,2
MLM,Road,Biodiesel,5,6,10,15,20
MLM,Road,Biogas,0,1,4,7,10
MLM,Sea,HFO,100,100,100,100,100
MLM,Sea,MGO,100,100,100,100,100
MLM,Sea,LNG,10,20,30,30,50
MLM,Sea,Hydrogen,0,0,0,0,0
MLM,Sea,Ammonia,0,0,3,6,10
MLM,Sea,Biodiesel (HVO),0,0,2,6,10
MLM,Sea,Biogas,0,0,2,6,10
MLM,Rail,Diesel,100,100,100,100,100
MLM,Rail,Electric train (CL),100,100,100,100,100
MLM,Rail,Battery train,0,0,10,15,20
MLM,Rail,Hydrogen,0,0,0,0,0
MLM,Rail,Biodiesel,0,0,2,6,10
MLL,Road,Diesel,100,100,100,100,100
MLL,Road,Battery electric,0.2,2,10,25,50
MLL,Road,Hydrogen,0,0,0,1,2
MLL,Road,Biodiesel,5,6,7,8.5,10
MLL,Road,Biogas,0,1,2,3.5,5
MLL,Sea,HFO,100,100,100,100,100
MLL,Sea,MGO,100,100,100,100,100
MLL,Sea,LNG,10,20,30,30,50
