,paths
677,"[('Ålesund', 'Bergen', 'Road', 1), ('Bergen', 'Stavanger', 'Sea', 1)]"
678,"[('Stavanger', 'Bergen', 'Sea', 1), ('Bergen', 'Ålesund', 'Road', 1)]"
679,"[('Stavanger', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Skien', 'Sea', 1)]"
680,"[('Skien', 'Oslo', 'Sea', 1), ('Oslo', 'Bergen', 'Road', 1)]"
681,"[('Skien', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Stavanger', 'Rail', 1)]"
682,"[('Skien', 'Oslo', 'Sea', 1), ('Oslo', 'Sør-Sverige', 'Road', 1)]"
683,"[('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Sør-Sverige', 'Road', 1)]"
684,"[('Sør-Sverige', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Sea', 1)]"
685,"[('Sør-Sverige', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Rail', 1)]"
686,"[('Nord-Sverige', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1)]"
687,"[('Verden', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Skien', 'Rail', 1), ('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Hamar', 'Rail', 1)]"
688,"[('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Kristiansand', 'Sea', 1)]"
689,"[('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Sea', 1)]"
690,"[('Trondheim', 'Hamar', 'Rail', 1), ('Hamar', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Sea', 1)]"
691,"[('Trondheim', 'Hamar', 'Rail', 2), ('Hamar', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Sea', 1)]"
692,"[('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Rail', 1), ('Bodø', 'Tromsø', 'Rail', 1)]"
693,"[('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Ålesund', 'Sea', 1)]"
694,"[('Bodø', 'Trondheim', 'Rail', 1), ('Trondheim', 'Ålesund', 'Sea', 1)]"
695,"[('Bodø', 'Nord-Sverige', 'Road', 1), ('Nord-Sverige', 'Sør-Sverige', 'Sea', 1)]"
696,"[('Tromsø', 'Bodø', 'Rail', 1), ('Bodø', 'Trondheim', 'Rail', 1), ('Trondheim', 'Hamar', 'Road', 1)]"
697,"[('Kristiansand', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Trondheim', 'Road', 1)]"
698,"[('Kristiansand', 'Oslo', 'Sea', 1), ('Oslo', 'Sør-Sverige', 'Road', 1)]"
699,"[('Ålesund', 'Trondheim', 'Sea', 1), ('Trondheim', 'Bodø', 'Road', 1)]"
700,"[('Ålesund', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Sea', 1)]"
701,"[('Skien', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Trondheim', 'Road', 1)]"
702,"[('Skien', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Rail', 1), ('Hamar', 'Trondheim', 'Rail', 1)]"
703,"[('Skien', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Rail', 1), ('Hamar', 'Trondheim', 'Rail', 2)]"
704,"[('Skien', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Ålesund', 'Road', 1)]"
705,"[('Sør-Sverige', 'Nord-Sverige', 'Sea', 1), ('Nord-Sverige', 'Bodø', 'Road', 1)]"
706,"[('Sør-Sverige', 'Oslo', 'Road', 1), ('Oslo', 'Kristiansand', 'Sea', 1)]"
707,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Sea', 1)]"
708,"[('Oslo', 'Bergen', 'Rail', 1), ('Bergen', 'Stavanger', 'Sea', 1)]"
709,"[('Bergen', 'Trondheim', 'Sea', 1), ('Trondheim', 'Bodø', 'Road', 1)]"
710,"[('Bergen', 'Trondheim', 'Sea', 1), ('Trondheim', 'Bodø', 'Rail', 1)]"
711,"[('Bergen', 'Trondheim', 'Sea', 1), ('Trondheim', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
712,"[('Bergen', 'Trondheim', 'Sea', 1), ('Trondheim', 'Bodø', 'Rail', 1), ('Bodø', 'Tromsø', 'Rail', 1)]"
713,"[('Trondheim', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Sea', 1)]"
714,"[('Trondheim', 'Ålesund', 'Road', 1), ('Ålesund', 'Bergen', 'Road', 1), ('Bergen', 'Stavanger', 'Sea', 1)]"
715,"[('Trondheim', 'Ålesund', 'Road', 1), ('Ålesund', 'Kontinentalsokkelen', 'Sea', 1)]"
716,"[('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Sea', 1)]"
717,"[('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Bergen', 'Sea', 1)]"
718,"[('Bodø', 'Trondheim', 'Rail', 1), ('Trondheim', 'Bergen', 'Sea', 1)]"
719,"[('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Stavanger', 'Sea', 1)]"
720,"[('Bodø', 'Trondheim', 'Rail', 1), ('Trondheim', 'Stavanger', 'Sea', 1)]"
721,"[('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Sea', 1)]"
722,"[('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Kontinentalsokkelen', 'Sea', 1)]"
723,"[('Tromsø', 'Bodø', 'Sea', 1), ('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1)]"
724,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Bergen', 'Sea', 1)]"
725,"[('Tromsø', 'Bodø', 'Rail', 1), ('Bodø', 'Trondheim', 'Rail', 1), ('Trondheim', 'Bergen', 'Sea', 1)]"
726,"[('Tromsø', 'Bodø', 'Sea', 1), ('Bodø', 'Trondheim', 'Road', 1)]"
727,"[('Tromsø', 'Bodø', 'Sea', 1), ('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Hamar', 'Road', 1)]"
728,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Ålesund', 'Sea', 1)]"
729,"[('Tromsø', 'Bodø', 'Rail', 1), ('Bodø', 'Trondheim', 'Rail', 1), ('Trondheim', 'Ålesund', 'Sea', 1)]"
730,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Ålesund', 'Road', 1), ('Ålesund', 'Stavanger', 'Sea', 1)]"
731,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Ålesund', 'Road', 1), ('Ålesund', 'Kontinentalsokkelen', 'Sea', 1)]"
732,"[('Kristiansand', 'Bergen', 'Sea', 1), ('Bergen', 'Ålesund', 'Road', 1)]"
733,"[('Ålesund', 'Trondheim', 'Sea', 1), ('Trondheim', 'Bodø', 'Rail', 1)]"
734,"[('Ålesund', 'Trondheim', 'Sea', 1), ('Trondheim', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
735,"[('Ålesund', 'Trondheim', 'Sea', 1), ('Trondheim', 'Bodø', 'Rail', 1), ('Bodø', 'Tromsø', 'Rail', 1)]"
736,"[('Ålesund', 'Bergen', 'Road', 1), ('Bergen', 'Kristiansand', 'Sea', 1)]"
737,"[('Ålesund', 'Bergen', 'Sea', 1), ('Bergen', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Rail', 1)]"
738,"[('Stavanger', 'Bergen', 'Sea', 1), ('Bergen', 'Oslo', 'Rail', 1)]"
739,"[('Stavanger', 'Bergen', 'Sea', 1), ('Bergen', 'Ålesund', 'Road', 1), ('Ålesund', 'Trondheim', 'Road', 1)]"
740,"[('Stavanger', 'Trondheim', 'Sea', 1), ('Trondheim', 'Bodø', 'Road', 1)]"
741,"[('Stavanger', 'Trondheim', 'Sea', 1), ('Trondheim', 'Bodø', 'Rail', 1)]"
742,"[('Stavanger', 'Ålesund', 'Sea', 1), ('Ålesund', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
743,"[('Stavanger', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Skien', 'Rail', 1), ('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Sør-Sverige', 'Road', 1)]"
744,"[('Stavanger', 'Bergen', 'Road', 1), ('Bergen', 'Ålesund', 'Road', 1), ('Ålesund', 'Trondheim', 'Road', 1), ('Trondheim', 'Nord-Sverige', 'Rail', 1)]"
745,"[('Skien', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Road', 1)]"
746,"[('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Bergen', 'Rail', 1), ('Bergen', 'Ålesund', 'Sea', 1)]"
747,"[('Sør-Sverige', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Stavanger', 'Rail', 1)]"
748,"[('Nord-Sverige', 'Trondheim', 'Rail', 1), ('Trondheim', 'Ålesund', 'Road', 1), ('Ålesund', 'Bergen', 'Road', 1), ('Bergen', 'Stavanger', 'Road', 1)]"
749,"[('Kontinentalsokkelen', 'Ålesund', 'Sea', 1), ('Ålesund', 'Trondheim', 'Road', 1)]"
750,"[('Kontinentalsokkelen', 'Ålesund', 'Sea', 1), ('Ålesund', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
751,"[('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Hamar', 'Road', 1)]"
752,"[('Bergen', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Sea', 1)]"
753,"[('Skien', 'Oslo', 'Sea', 1), ('Oslo', 'Bergen', 'Rail', 1)]"
754,"[('Kristiansand', 'Oslo', 'Sea', 1), ('Oslo', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1)]"
755,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Rail', 1), ('Oslo', 'Kristiansand', 'Sea', 1)]"
