,paths
194,"[('Bergen', 'Skien', 'Sea', 1)]"
195,"[('Skien', 'Bergen', 'Sea', 1)]"
196,"[('Bergen', 'Tromsø', 'Sea', 1)]"
197,"[('Tromsø', 'Bergen', 'Sea', 1)]"
198,"[('Bergen', 'Ålesund', 'Road', 1)]"
199,"[('Ålesund', 'Bergen', 'Road', 1)]"
200,"[('Trondheim', 'Europa', 'Sea', 1)]"
201,"[('Europa', 'Trondheim', 'Sea', 1)]"
202,"[('Bodø', 'Ålesund', 'Sea', 1)]"
203,"[('Ålesund', 'Bodø', 'Sea', 1)]"
204,"[('Trondheim', 'Kristiansand', 'Sea', 1)]"
205,"[('Kristiansand', 'Trondheim', 'Sea', 1)]"
206,"[('Hamar', 'Ålesund', 'Road', 1)]"
207,"[('Ålesund', 'Hamar', 'Road', 1)]"
208,"[('Oslo', 'Bergen', 'Road', 1)]"
209,"[('Bergen', 'Oslo', 'Road', 1)]"
210,"[('Trondheim', 'Stavanger', 'Sea', 1)]"
211,"[('Stavanger', 'Trondheim', 'Sea', 1)]"
212,"[('Oslo', 'Kristiansand', 'Sea', 1)]"
213,"[('Kristiansand', 'Oslo', 'Sea', 1)]"
214,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Trondheim', 'Road', 1)]"
215,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Road', 1)]"
216,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
217,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Road', 1)]"
218,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Ålesund', 'Road', 1)]"
219,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Road', 1), ('Kristiansand', 'Stavanger', 'Road', 1)]"
220,"[('Oslo', 'Sør-Sverige', 'Road', 1), ('Sør-Sverige', 'Nord-Sverige', 'Road', 1)]"
221,"[('Oslo', 'Sør-Sverige', 'Road', 1), ('Sør-Sverige', 'Europa', 'Road', 1)]"
222,"[('Bergen', 'Ålesund', 'Road', 1), ('Ålesund', 'Trondheim', 'Road', 1)]"
223,"[('Bergen', 'Ålesund', 'Road', 1), ('Ålesund', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Road', 1)]"
224,"[('Bergen', 'Ålesund', 'Road', 1), ('Ålesund', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
225,"[('Bergen', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Road', 1)]"
226,"[('Bergen', 'Stavanger', 'Road', 1), ('Stavanger', 'Kristiansand', 'Road', 1)]"
227,"[('Bergen', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1)]"
228,"[('Bergen', 'Oslo', 'Road', 1), ('Oslo', 'Sør-Sverige', 'Road', 1)]"
229,"[('Bergen', 'Oslo', 'Road', 1), ('Oslo', 'Sør-Sverige', 'Road', 1), ('Sør-Sverige', 'Nord-Sverige', 'Road', 1)]"
230,"[('Bergen', 'Oslo', 'Road', 1), ('Oslo', 'Sør-Sverige', 'Road', 1), ('Sør-Sverige', 'Europa', 'Road', 1)]"
231,"[('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1)]"
232,"[('Trondheim', 'Ålesund', 'Road', 1), ('Ålesund', 'Bergen', 'Road', 1)]"
233,"[('Trondheim', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
234,"[('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Road', 1)]"
235,"[('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1)]"
236,"[('Trondheim', 'Ålesund', 'Road', 1), ('Ålesund', 'Bergen', 'Road', 1), ('Bergen', 'Stavanger', 'Road', 1)]"
237,"[('Trondheim', 'Nord-Sverige', 'Road', 1), ('Nord-Sverige', 'Sør-Sverige', 'Road', 1)]"
238,"[('Trondheim', 'Nord-Sverige', 'Road', 1), ('Nord-Sverige', 'Sør-Sverige', 'Road', 1), ('Sør-Sverige', 'Europa', 'Road', 1)]"
239,"[('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1)]"
240,"[('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Ålesund', 'Road', 1), ('Ålesund', 'Bergen', 'Road', 1)]"
241,"[('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Hamar', 'Road', 1)]"
242,"[('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Road', 1)]"
243,"[('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1)]"
